Category,Item,Value,Details
Inventory,Gems,1090781,
Inventory,Spent Gems,6540850,
Inventory,Gold Chests,190,
Inventory,Silver Chests,12247,
Inventory,Time Gate Pieces,331,= 55 Time Gates
Inventory,Tiny Bounties,177,12 Tokens Each
Inventory,Small Bounties,5661,72 Tokens Each
Inventory,Medium Bounties,783,576 Tokens Each
Inventory,Large Bounties,183,1152 Tokens Each
Inventory,Tiny Blacksmiths,192,1 iLvl Each
Inventory,Small Blacksmiths,459,2 iLvls Each
Inventory,Medium Blacksmiths,210,6 iLvls Each
Inventory,Large Blacksmiths,22,24 iLvls Each
Inventory,Huge Blacksmiths,1,120 iLvls Each
Patron,Mirt Variants,30 / 600,
Patron,Vajra Variants,30 / 600,
Patron,Strahd Variants,10 / 600,
Patron,Zariel Variants,14 / 601,
Patron,Elminster Variants,0 / 600,
Account,Champions Unlocked,138,
Account,Champions Active,14,
Account,Familiars,51,
Account,Costumes,139,
Account,Epic Gear,448,
